"field","standard"
"CATEGORY",TRUE
"BIBTEXKEY",TRUE
"ADDRESS",TRUE
"ANNOTE",TRUE
"AUTHOR",TRUE
"BOOKTITLE",TRUE
"CHAPTER",TRUE
"CROSSREF",TRUE
"EDITION",TRUE
"EDITOR",TRUE
"HOWPUBLISHED",TRUE
"INSTITUTION",TRUE
"JOURNAL",TRUE
"KEY",TRUE
"MONTH",TRUE
"NOTE",TRUE
"NUMBER",TRUE
"ORGANIZATION",TRUE
"PAGES",TRUE
"PUBLISHER",TRUE
"SCHOOL",TRUE
"SERIES",TRUE
"TITLE",TRUE
"TYPE",TRUE
"VOLUME",TRUE
"YEAR",TRUE
"AFFILIATION",FALSE
"ABSTRACT",FALSE
"DOI",FALSE
"EID",FALSE
"FILE",FALSE
"CONTENTS",FALSE
"COPYRIGHT",FALSE
"COLLABORATOR",FALSE
"ISBN",FALSE
"ISSN",FALSE
"KEYWORDS",FALSE
"LANGUAGE",FALSE
"LOCATION",FALSE
"LCCN",FALSE
"MRNUMBER",FALSE
"PMC",FALSE
"PMID",FALSE
"PRICE",FALSE
"SIZE",FALSE
"TRANSLATOR",FALSE
"URL",FALSE
"AUTHOR_KEYWORDS",FALSE
